丧葬,funeral
葬礼,丧礼 funeral ceremony 
孝服,mourning clothes
纸钱,ghostmoney
祭祀,sacrifices
祭祖,offer sacrifices to one’s ancestors
清明节,Tomb Sweeping Day?
扫墓,attend/sweep tomb, clean the grave
祭品,sacrifices, sacrifice offerings
祭祀节日,day of sacrifice 
祭祖/上供,offer sacrifices to ancestors
哀悼之情,condolence 
纸钱,hell note/joss paper
殡葬用品,funeral supplies/products 
殡葬服务业,funeral services 
殡仪业者,mortician 
焚香,burn incense 
扫墓,tomb-sweeping 
扫墓的人,tomb sweeper
放风筝,kite flying 
踏青,spring outing 
神灯,god's lantern 
纪念碑,memorial tablet 
门旁插柳,willow branches inserted on each gate 
 骨灰盒,cremation urn
哀悼仪式,mourning ceremony 
土葬,inhumation 
火葬,cremation
海葬,sea-burial
船棺葬,boat-coffin burial 
树葬,tree burial
天葬,celestial burial 
花葬,flower burials 
孝顺 孝心,filial piety 
